,Date,BLMN,RUTH,RICK,LUB,KRUS,FAT,DS,BBQ,NATH,RAVE,ARKR,BDL,SHAK,WING,BJRI,CBRL,MCD,YUM,QSR,CMG,SBUX,YUMC,WEN,DPZ,JACK,STKS,LIVX
33,4/16/20,8.33,7.41,8.84,0.75,10.11,3.49,1.08,1.95,56.389999,0.72,12.48,13.25,42.93,102.779999,16.030001,87.400002,179.5,80.110001,42.529999,786.75,73.510002,43.57,17.280001,360.470001,52.68,1.3,1.9
34,4/17/20,9.28,8.5,9.15,0.76,10.6,3.6,1.17,2.07,59.610001,0.78,12.38,13.26,43.5,107.139999,17.389999,91.68,186.100006,84.169998,45.98,820.27002,77.099998,45.369999,18.4,362.970001,56.400002,1.46,2.28
35,4/20/20,8.93,7.92,8.44,0.78,10.29,3.6,1.13,2.1,56.439999,0.75,12.31,14.3,46.43,109.349998,16.65,86.470001,181.649994,82.07,44.080002,808.72998,75.32,45.209999,18.059999,370.480011,54.119999,1.41,2.28
36,4/21/20,8.7,8.02,8.26,0.77,9.83,3.49,1.15,2.11,58.970001,0.73,11.51,13.54,47.099998,107.470001,16.52,82.080002,177.580002,81.199997,42.369999,786.690002,72.720001,44.439999,17.42,365.220001,53.290001,1.43,2.155
37,4/22/20,9.23,8.74,8.31,0.78,10.51,3.256,1.16,2.14,57.040001,0.71,11.67,13.66,49.310001,112.440002,17.040001,90.400002,186.479996,86.790001,45.25,882.26001,77.449997,45.66,18.280001,383.75,55.849998,1.4,2.2
38,4/23/20,9.39,8.58,8.45,0.79,11.12,3.1,1.11,2.17,56.740002,0.7,11,14.57,48.75,109.400002,16.389999,88.360001,182.039993,85.610001,46.18,867.02002,75.150002,45.68,18.23,369.640015,54,1.4,2.13
39,4/24/20,9.39,8.38,8.48,0.79,10.62,2.908,1.07,2.18,56.27,0.7,10.65,14.65,49.369999,113.989998,16.49,88.589996,184.020004,85.889999,46.790001,882.469971,75.580002,43.950001,18.91,367.290009,55.900002,1.4,2.06
40,4/27/20,10.46,9.34,9.06,0.81,12.815,3.2,1.09,2.34,60.130001,0.72,10.5,14.28,50.639999,113.040001,17.83,94.620003,185.889999,88.190002,47.84,883.070007,77.739998,45.93,19.809999,362.029999,59.099998,1.39,1.965
41,4/28/20,11.32,9.5,10.44,0.75,14.55,3.219,1.18,2.48,59.740002,0.75,10.9,14.62,51.740002,115.559998,19,97.129997,185.929993,88.269997,49.490002,868.359985,78.690002,45.900002,19.790001,356.01001,60.740002,1.4,1.74
42,4/29/20,13.53,11.3,13.55,0.84,16.99,3.414,1.25,2.51,59.330002,0.84,11.75,15,55.709999,118.120003,22.780001,101.870003,187.820007,87.459999,51.110001,882.340027,76.860001,49.91,20.440001,362.01001,62.959999,1.76,2.24
43,4/30/20,12.05,11.26,12.53,0.84,16.83,3.4,1.32,2.66,56.27,0.85,11.72,14,54.509998,117.269997,21.860001,97.400002,187.559998,86.43,49.299999,878.549988,76.730003,48.459999,19.860001,361.929993,60.299999,1.82,2.55
44,5/1/20,10.56,9.86,11.38,0.81,16.25,3.7,1.18,2.65,57.400002,0.82,11.2,13.7,51.700001,118.190002,19.92,93.730003,182.660004,83.809998,48.32,874.919983,73.790001,46.41,19.459999,357.299988,59.619999,1.66,3.03
