,Date,BLMN,RUTH,RICK,LUB,KRUS,FAT,DS,BBQ,NATH,RAVE,ARKR,BDL,SHAK,WING,BJRI,CBRL,MCD,YUM,QSR,CMG,SBUX,YUMC,WEN,DPZ,JACK,STKS,LIVX
11,1/16/20,21.891842,21.971849,18.637377,2.36,23.809999,4.657,4.1,4.31,72.534317,1.59,22.469139,21.893532,70.43,87.534912,39.784737,157.038559,209.538742,101.704193,62.401257,870.23999,92.15052,49.495533,21.381454,286.686218,79.962791,3.96,1.73
12,1/17/20,21.911634,21.971849,18.717194,2.36,24.24,4.65,4.13,4.3,74.22509,1.6,21.898056,21.65027,69.910004,93.197464,39.316799,157.068115,210.661713,104.929733,63.349571,878.150024,93.185699,49.714935,21.560379,285.798309,80.430061,3.96,1.65
13,1/21/20,21.387102,20.761663,18.777056,2.34,23.42,4.69,4.14,4.28,73.996346,1.63,22.410063,21.65027,70.129997,90.181435,38.709476,155.600006,209.846817,105.128838,64.505341,870.72998,92.100746,45.875366,21.530558,284.441467,81.215477,3.987,1.64
14,1/22/20,21.456381,20.424397,18.946669,2.4,22.76,4.65,4.09,4.29,74.314606,1.64,22.410063,21.601618,70.75,93.517044,39.237148,156.38826,210.125076,106.014862,64.337402,879.179993,92.100746,46.862686,21.858585,285.239624,82.746529,3.99,1.56
15,1/23/20,21.347513,20.493834,18.886806,2.4,22.959999,4.67,4.07,4.29,70.883324,1.61,22.410063,21.407009,70.870003,93.17749,38.888687,157.20607,212.092758,105.507149,64.48558,879.840027,93.315094,44.558945,22.067331,287.344666,83.124321,4,1.56
16,1/24/20,21.129784,20.156569,18.407902,2.35,23.1,4.719,3.99,4.29,70.933052,1.58,21.917749,21.163746,68.449997,92.69812,40.173027,155.452209,209.926315,104.511604,63.458233,869.710022,91.603065,44.130108,21.957989,284.431519,82.010826,4.05,1.52
17,1/27/20,20.516178,19.44236,18.088631,2.4,23.48,4.65,4.08,4.21,70.873383,1.56,21.514053,20.657763,66.449997,91.789314,39.486053,153.846161,208.038132,103.924232,62.796391,865.030029,88.318382,41.806419,21.928167,282.226715,81.493843,4.04,1.5
18,1/28/20,20.446901,19.402681,18.228312,2.39,24.040001,4.7,4,4.22,68.963791,1.63,21.563284,19.947439,67.379997,93.007706,39.436272,154.555588,209.081604,104.352318,62.025883,877.820007,88.18898,44.92794,21.659782,283.513672,82.309082,4.215,1.48
19,1/29/20,20.555767,19.144772,18.407902,2.42,23.02,4.704,3.85,4.19,67.442093,1.6,22.114674,20.326927,68.099998,96.003769,41.019299,154.594986,213.106415,106.154236,62.055515,879.299988,86.317703,44.88805,21.898348,284.800659,82.418442,4.39,1.33
20,1/30/20,20.169788,20.424397,18.80699,2.39,22.75,4.7,3.77,4.2,67.969215,1.62,22.114674,20.37558,67.769997,95.204826,40.043598,153.501297,214.835587,106.124374,61.265251,879.950012,85.44178,43.880787,21.779064,281.737854,82.17984,4.37,1.23
