"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 23, 2020","2,047.88","2,020.26","2,048.18","2,008.08","19.53M","0.89%"
"Jan 22, 2020","2,029.74","2,037.74","2,046.13","2,029.50","19.63M","0.25%"
"Jan 21, 2020","2,024.65","2,024.15","2,035.88","2,020.05","23.99M","-0.49%"
"Jan 17, 2020","2,034.65","2,019.24","2,039.17","2,019.24","23.13M","0.86%"
"Jan 16, 2020","2,017.37","2,006.76","2,017.66","2,003.37","21.49M","0.77%"
"Jan 15, 2020","2,001.90","1,987.09","2,009.54","1,987.09","19.76M","0.76%"
"Jan 14, 2020","1,986.77","1,979.24","1,990.38","1,979.24","20.92M","0.18%"
"Jan 13, 2020","1,983.29","1,987.94","1,992.15","1,981.03","25.49M","0.01%"
"Jan 10, 2020","1,983.11","1,994.79","1,995.82","1,981.19","21.53M","-0.43%"
"Jan 09, 2020","1,991.71","1,981.90","2,002.66","1,980.02","26.16M","1.18%"
"Jan 08, 2020","1,968.43","1,944.62","1,975.94","1,941.57","21.72M","1.10%"
"Jan 07, 2020","1,947.00","1,944.29","1,947.15","1,934.17","20.69M","-0.13%"
"Jan 06, 2020","1,949.49","1,935.54","1,949.49","1,935.54","20.90M","0.25%"
"Jan 03, 2020","1,944.71","1,935.96","1,948.62","1,931.42","15.64M","-0.28%"
"Jan 02, 2020","1,950.26","1,924.65","1,950.26","1,923.39","22.06M","1.55%"
